"Mass.Feature","FinalBMIS","Orig_RSD","FinalRSD","runDate","type","SampID","replicate","Area.with.QC","MIS","Adjusted.Area","Run.Cmpd"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS7C1DCM","C",6230778,"Inj_vol",6071014,"180821_Smp_MS7C1DCM_C Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS8C115m","A",4840314,"Inj_vol",4716203,"180821_Smp_MS8C115m_A Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS8C115m","B",6993442,"Inj_vol",6814123,"180821_Smp_MS8C115m_B Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS8C115m","C",9267694,"Inj_vol",9030061,"180821_Smp_MS8C115m_C Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS8C1175m","A",2376855,"Inj_vol",2315910,"180821_Smp_MS8C1175m_A Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS8C1175m","B",2643448,"Inj_vol",2575667,"180821_Smp_MS8C1175m_B Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS8C1175m","C",3944752,"Inj_vol",3843605,"180821_Smp_MS8C1175m_C Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS8C1DCM","A",7175840,"Inj_vol",6991844,"180821_Smp_MS8C1DCM_A Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS8C1DCM","B",6529596,"Inj_vol",6362170,"180821_Smp_MS8C1DCM_B Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS8C1DCM","C",6389208,"Inj_vol",6225382,"180821_Smp_MS8C1DCM_C Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS9C215m","A",5215269,"Inj_vol",5081544,"180821_Smp_MS9C215m_A Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS9C215m","B",6408705,"Inj_vol",6244379,"180821_Smp_MS9C215m_B Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS9C215m","C",4060002,"Inj_vol",3955899,"180821_Smp_MS9C215m_C Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS9C2175m","A",2164708,"Inj_vol",2109203,"180821_Smp_MS9C2175m_A Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS9C2175m","B",1128072,"Inj_vol",1099147,"180821_Smp_MS9C2175m_B Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS9C2175m","C",1758926,"Inj_vol",1713825,"180821_Smp_MS9C2175m_C Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS9C2DCM","A",5234177,"Inj_vol",5099967,"180821_Smp_MS9C2DCM_A Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS9C2DCM","B",8758990,"Inj_vol",8534401,"180821_Smp_MS9C2DCM_B Deoxyadenosine"
"Deoxyadenosine","Inj_vol",0.1700594,0.1700594,"180821","Smp","MS9C2DCM","C",5395406,"Inj_vol",5257062,"180821_Smp_MS9C2DCM_C Deoxyadenosine"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Full1",26374038,"Trehalose, 13C",23964948,"180821_Poo_Day1and2Poo_Full1 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Full2",4734474,"Trehalose, 13C",9917205,"180821_Poo_Day1and2Poo_Full2 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Full3",9404925,"Trehalose, 13C",12771200,"180821_Poo_Day1and2Poo_Full3 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Full4",9232852,"Trehalose, 13C",13135699,"180821_Poo_Day1and2Poo_Full4 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Full5",21699398,"Trehalose, 13C",19921799,"180821_Poo_Day1and2Poo_Full5 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Full6",32164692,"Trehalose, 13C",23876457,"180821_Poo_Day1and2Poo_Full6 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Half1",16391252,"Trehalose, 13C",24775335,"180821_Poo_Day1and2Poo_Half1 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Half2",2012690,"Trehalose, 13C",7036750,"180821_Poo_Day1and2Poo_Half2 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Half3",3421417,"Trehalose, 13C",8751470,"180821_Poo_Day1and2Poo_Half3 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Half4",3843886,"Trehalose, 13C",9604023,"180821_Poo_Day1and2Poo_Half4 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Half5",11506256,"Trehalose, 13C",15215040,"180821_Poo_Day1and2Poo_Half5 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","Day1and2Poo","Half6",20291028,"Trehalose, 13C",20856265,"180821_Poo_Day1and2Poo_Half6 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","MesoScopeQC","1",1995609,"Trehalose, 13C",5022986,"180821_Poo_MesoScopeQC_1 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","MesoScopeQC","2",1953312,"Trehalose, 13C",3950131,"180821_Poo_MesoScopeQC_2 DHPS"
