"Metabolite.Name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"Leucine",0.752408197849716,0.263056348861049,1.53169297717394,4.51444918709829,1.5783380931663,9.19015786304363,0.00228606979209484,0.000377795517881025,0.00384328100525114
"L-Pyroglutamic acid",0.111765066784936,0.01447396037505,0.558963964414212,0.55882533392468,0.0723698018752499,2.79481982207106,0.000236412874795774,0.0000600920934922742,0.00100678392531592
"Ketoglutaric Acid",0.00945038267435367,0.000547210112021971,0.0424117622487685,0.0472519133717683,0.00273605056010986,0.212058811243843,0.0000228816037287378,0.00000138351964728195,0.000100594832266431
"Isethionic Acid",0.150955648553186,0.0179932350151913,29.5390361471155,0.301911297106373,0.0359864700303826,59.078072294231,0.000124093694595384,0.0000327177693218964,0.0445753497296737
"Inosine",0.0126754215321077,0.000303062416265238,0.115454754718574,0.126754215321077,0.00303062416265238,1.15454754718574,0.0000532011943807677,0.00000302839683081697,0.000590938570771474
"Imidazoleacrylic Acid",0.00337330458886309,0.00101390894609461,0.0674525799799365,0.0202398275331785,0.00608345367656765,0.404715479879619,0.0000100206149943591,0.00000405951679295357,0.000198357665264691
"Hypoxanthine",5.55402540059105,1.10673982674939,37.2493549975164,27.7701270029553,5.53369913374697,186.246774987582,0.0172306976362706,0.00152293694629546,0.0904916055837431
"Hypotaurine",0.0245796027920966,0.000672584998588323,0.285686528219115,0.0491592055841932,0.00134516999717665,0.571373056438229,0.000022061830431046,0.000000491969142815744,0.000221832530917698
"Hydroxylysine",0.00166698258826468,0.000224910784365415,0.0419484382726593,0.0100018955295881,0.00134946470619249,0.251690629635956,0.00000501778489747692,0.000000488656428763485,0.0000709750365562792
"Hydroxyectoine",0.000409326206478081,0.000101626244069375,0.00386344191908221,0.00245595723886848,0.000609757464416247,0.0231806515144933,0.00000130554246701526,0.000000312095595731585,0.0000113164026921787
"Hordenine",0.000124272063892116,0.0000614031376341354,0.000461710158121852,0.00124272063892116,0.000614031376341354,0.00461710158121852,0.000000598048327227128,0.000000120222674061245,0.00000399770642301968
"Homarine",1.51959138270117,0.150990078565806,11.6484422730837,10.6371396789082,1.05693054996064,81.5390959115862,0.00448904318929923,0.00159000699597447,0.0380017464504281
"Histidine",0.106434714927075,0.0411201251933075,0.238127235805552,0.638608289562448,0.246720751159845,1.42876341483331,0.000334767050094025,0.0000836425637461812,0.0779968124780963
"Guanosine",0.00464098621421868,0.000303519016949385,0.0262661190306572,0.0464098621421868,0.00303519016949385,0.262661190306572,0.0000196649882337359,0.00000373566137722083,0.000109075969606041
"Guanine",0.295065971672501,0.0162598379655586,4.28346646960688,1.4753298583625,0.0812991898277931,21.4173323480344,0.000671218588401574,0.0000528735326840525,0.00973324406944617
"Gonyol",0.920264667244815,0.0383236153641824,5.15717567099608,6.4418526707137,0.268265307549277,36.1002296969726,0.0025066524921267,0.000422204521553201,0.0192544832573662
"GMP",0.026701789578582,0.00749896039142286,0.0969425146496086,0.26701789578582,0.0749896039142286,0.969425146496086,0.0000920643899349443,0.0000355971277570941,0.000382091529480877
"Glycine",0.58023807503591,0.0608004694096497,2.71557324903993,1.16047615007182,0.121600938819299,5.43114649807985,0.000506623425481798,0.000157635836509309,0.00411595027617266
"Glycerophosphocholine",0.0426901625842261,0.00344879088719309,0.205153630294771,0.341521300673809,0.0275903270975447,1.64122904235817,0.000117641360464462,0.0000395067651770951,0.000591223450098256
"glycerol 3 phosphate",0.0039242467006637,0.000746647039883255,0.103386063863148,0.0117727401019911,0.00223994111964976,0.310158191589443,0.00000529932930352746,0.000000807545000334042,0.000111728949083347
"Glutathione Disulfide",0.00413766645415277,0.000509639117381268,0.0131680333669189,0.0827533290830555,0.0101927823476254,0.263360667338378,0.0000300495197787133,0.00000555781530490378,0.000123043278484759
"Glutamine",0.16214226838286,0.0198040916289212,0.472788797569374,0.810711341914299,0.0990204581446062,2.36394398784687,0.00031875740208762,0.0000725415424017599,0.00112285550483207
"Glutamic acid",1.02068661998405,0.219464451550097,2.5143689327075,5.10343309992023,1.09732225775048,12.5718446635375,0.00249373465673421,0.000635874538443111,0.00452878250642967
"Glucosylglycerol",0.0374390287012135,0.000999805008334837,0.356713165548895,0.336951258310921,0.00899824507501353,3.21041848994006,0.000104435201064222,0.00000316177827417582,0.00164320656922956
"Glucosamine",0.000443686039055703,0.0000830468808560711,0.0117442725168188,0.00266211623433422,0.000498281285136427,0.0704656351009126,0.00000130662237851102,0.00000013713267751657,0.0000298631419024038
"Gluconic Acid",0.000924089309491108,0.000124867685732273,0.0263359846793274,0.00554453585694665,0.00074920611439364,0.158015908075965,0.0000025038877291285,0.000000267229947537715,0.0000774461767806646
"Fumaric Acid",0.0640919508282435,0.0116705853627814,0.531671425947809,0.256367803312974,0.0466823414511257,2.12668570379124,0.00013534461499385,0.0000140839752740718,0.000851443587371145
"Ectoine",0.0140779793581873,0.00456026875234664,0.0518206004269841,0.0844678761491237,0.0273616125140799,0.310923602561904,0.0000473395822027082,0.00000928770478313198,0.000199188120862343
"DMSP",0.298325442179277,0.0538586928297928,1.37655092995313,1.49162721089639,0.269293464148964,6.88275464976566,0.000739385968055019,0.000154177848420695,0.00267396196236671
"Dimethylsulfonioacetate (DMS-Ac)",0.0872642130250887,0.00198519310565303,0.313121735600632,0.349056852100355,0.0079407724226121,1.25248694240253,0.000124524000320272,0.00000606357843254776,0.000555317643692307
"DHPS",0.0510208625401002,0.000711840569738578,0.865948855973871,0.153062587620301,0.00213552170921573,2.59784656792161,0.0000626377316298336,0.00000336095237115327,0.000935827828458173
"Deoxyadenosine",0.00247157330487888,0.000195448513926155,0.0120202890675927,0.0247157330487888,0.00195448513926155,0.120202890675927,0.0000131715557424181,0.00000296332599650531,0.0000570954634230252
