"Mass.Feature","FinalBMIS","Orig_RSD","FinalRSD","runDate","type","SampID","replicate","Area.with.QC","MIS","Adjusted.Area","Run.Cmpd"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS4C1DCM","A",2914,"Inj_vol",2839.28205128205,"180905_Smp_MS4C1DCM_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS4C1DCM","B",2485,"Inj_vol",2421.28205128205,"180905_Smp_MS4C1DCM_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS4C1DCM","C",1892,"Inj_vol",1843.48717948718,"180905_Smp_MS4C1DCM_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS5C115m","A",4331,"Inj_vol",4219.94871794872,"180905_Smp_MS5C115m_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS5C115m","B",3959,"Inj_vol",3857.48717948718,"180905_Smp_MS5C115m_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS5C115m","C",NA,"Inj_vol",NA,"180905_Smp_MS5C115m_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS5C1175m","A",NA,"Inj_vol",NA,"180905_Smp_MS5C1175m_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS5C1175m","B",NA,"Inj_vol",NA,"180905_Smp_MS5C1175m_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS5C1175m","C",4671,"Inj_vol",4551.23076923077,"180905_Smp_MS5C1175m_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS5C1DCM","A",2642,"Inj_vol",2574.25641025641,"180905_Smp_MS5C1DCM_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS5C1DCM","B",NA,"Inj_vol",NA,"180905_Smp_MS5C1DCM_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS5C1DCM","C",2302,"Inj_vol",2242.97435897436,"180905_Smp_MS5C1DCM_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS6C315m","A",4601,"Inj_vol",4483.02564102564,"180905_Smp_MS6C315m_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS6C315m","B",1705,"Inj_vol",1661.28205128205,"180905_Smp_MS6C315m_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS6C315m","C",NA,"Inj_vol",NA,"180905_Smp_MS6C315m_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS6C3175m","A",4596,"Inj_vol",4478.15384615385,"180905_Smp_MS6C3175m_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS6C3175m","B",6933,"Inj_vol",6755.23076923077,"180905_Smp_MS6C3175m_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS6C3175m","C",2724,"Inj_vol",2654.15384615385,"180905_Smp_MS6C3175m_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS6C3DCM","A",NA,"Inj_vol",NA,"180905_Smp_MS6C3DCM_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS6C3DCM","B",1916,"Inj_vol",1866.87179487179,"180905_Smp_MS6C3DCM_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS6C3DCM","C",3849,"Inj_vol",3750.30769230769,"180905_Smp_MS6C3DCM_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS7C115m","A",1780,"Inj_vol",1734.35897435897,"180905_Smp_MS7C115m_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS7C115m","B",5928,"Inj_vol",5776,"180905_Smp_MS7C115m_B trans Retinal"
